City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
545,mani,4.8172,-72.2886,29.5,65,25,1.91,CO,1693063141
546,liuboml,51.226,24.0373,31.06,39,64,3.16,UA,1693063142
547,san ignacio de velasco,-16.3667,-60.95,27.8,36,68,4.54,BO,1693063143
548,el aouinet,35.8669,7.8867,38.1,11,0,3.98,DZ,1693063143
549,dapa,9.7594,126.0531,28.43,75,70,2.37,PH,1693063144
550,lensk,60.7253,114.9278,13.05,64,60,2.4,RU,1693063145
551,feodosiya,45.0333,35.3833,27.12,44,0,4.5,UA,1693062872
552,manokwari,-0.8667,134.0833,25.6,83,75,1.2,ID,1693063147
553,sitangkai,4.6628,119.3928,28.74,74,2,4.5,PH,1693063147
554,wuchuan,21.4571,110.7659,27.73,84,100,3.15,CN,1693063148
555,nemuro,43.3236,145.575,19.67,99,100,5.23,JP,1693063149
556,bereznik,62.8551,42.7072,11.28,71,100,3.2,RU,1693063150
557,beidao,34.5686,105.8933,14.77,90,44,1.34,CN,1693063150
558,yingchuan,34.1628,113.4639,18.4,98,100,6.16,CN,1693063136
559,mimoso do sul,-21.0642,-41.3664,20.13,93,100,2.32,BR,1693063152
